,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-12-01,4288.149902,4296.870117,4276.450195,4290.589844,4289.486816,763500.0
1,2011-12-02,4288.899902,4299.5,4278.370117,4290.919922,4289.816895,743800.0
2,2011-12-05,4293.790039,4293.790039,4271.5,4291.720215,4290.616699,160400.0
3,2011-12-06,4288.470215,4288.470215,4269.959961,4282.77002,4281.668945,136200.0
4,2011-12-07,4284.419922,4315.169922,4282.569824,4315.169922,4314.060547,104400.0
5,2011-12-08,4319.850098,4320.080078,4291.200195,4312.890137,4311.78125,151600.0
6,2011-12-09,4284.600098,4304.799805,4266.240234,4292.5,4291.396484,117800.0
7,2011-12-12,4302.430176,4318.189941,4276.339844,4276.339844,4275.240723,259800.0
8,2011-12-13,4276.339844,4298.27002,4267.330078,4282.620117,4281.519043,211900.0
9,2011-12-14,4283.850098,4295.75,4282.97998,4285.930176,4284.828613,206200.0
10,2011-12-15,4286.47998,4295.850098,4273.950195,4282.669922,4281.568848,116400.0
11,2011-12-16,4283.259766,4311.779785,4283.259766,4304.939941,4303.833008,217400.0
12,2011-12-19,4304.939941,4326.660156,4304.939941,4318.120117,4317.010254,112800.0
13,2011-12-20,4319.660156,4342.180176,4301.129883,4342.180176,4341.063965,722200.0
14,2011-12-21,4362.759766,4383.790039,4362.759766,4368.879883,4367.756836,170500.0
15,2011-12-22,4365.839844,4385.310059,4352.100098,4370.459961,4369.336426,98800.0
16,2011-12-23,4374.200195,4388.850098,4372.240234,4372.240234,4371.116211,114900.0
17,2011-12-26,4375.5,4387.060059,4372.080078,4387.060059,4385.932129,52600.0
18,2011-12-27,4386.890137,4386.890137,4340.189941,4361.430176,4360.309082,83700.0
19,2011-12-28,4359.540039,4366.560059,4335.069824,4336.629883,4335.515137,70400.0
20,2011-12-29,4336.629883,4371.959961,4336.629883,4371.959961,4370.835938,86200.0
21,2012-01-02,4371.959961,4397.080078,4370.830078,4397.080078,4395.949707,16600.0
22,2012-01-03,4398.859863,4422.220215,4398.859863,4422.220215,4421.083496,52000.0
23,2012-01-04,4422.950195,4487.77002,4422.950195,4487.77002,4486.616211,82500.0
24,2012-01-05,4487.77002,4527.209961,4480.060059,4518.910156,4517.748535,118400.0
25,2012-01-06,4517.660156,4520.330078,4476.040039,4483.359863,4482.20752,52400.0
26,2012-01-10,4542.870117,4591.259766,4533.810059,4561.080078,4559.907715,141600.0
27,2012-01-11,4576.319824,4656.27002,4576.319824,4645.859863,4644.665527,196200.0
28,2012-01-12,4644.169922,4654.649902,4629.600098,4648.109863,4646.915039,216900.0
29,2012-01-13,4649.0,4663.350098,4602.02002,4613.830078,4612.644043,158800.0
30,2012-01-16,4606.970215,4610.569824,4578.919922,4578.919922,4577.742676,52100.0
31,2012-01-17,4581.700195,4642.759766,4581.700195,4642.759766,4641.566406,96500.0
32,2012-01-18,4642.97998,4692.180176,4642.339844,4677.620117,4676.41748,99300.0
33,2012-01-19,4678.799805,4713.569824,4675.52002,4700.370117,4699.161621,89600.0
34,2012-01-20,4704.629883,4747.899902,4704.629883,4747.899902,4746.679199,109200.0
35,2012-01-24,4748.040039,4756.779785,4707.72998,4714.350098,4713.138184,67700.0
36,2012-01-25,4715.569824,4715.569824,4668.680176,4670.490234,4669.289551,56800.0
37,2012-01-26,4673.060059,4673.060059,4587.77002,4611.680176,4610.494629,160700.0
38,2012-01-27,4615.790039,4679.890137,4615.379883,4679.890137,4678.687012,150000.0
39,2012-01-30,4680.629883,4680.629883,4612.120117,4644.490234,4643.296387,188200.0
40,2012-01-31,4645.180176,4682.439941,4635.910156,4682.439941,4681.236328,160200.0
41,2012-02-01,4676.580078,4721.950195,4673.0,4715.640137,4714.427734,184000.0
42,2012-02-02,4716.200195,4822.080078,4716.200195,4822.080078,4820.840332,157200.0
43,2012-02-03,4800.470215,4804.810059,4739.870117,4758.569824,4757.34668,205100.0
44,2012-02-06,4782.930176,4855.0,4782.209961,4816.330078,4815.091797,156100.0
45,2012-02-07,4816.040039,4818.799805,4755.97998,4755.97998,4754.757324,87300.0
46,2012-02-08,4757.439941,4806.970215,4757.439941,4805.799805,4804.564453,127000.0
47,2012-02-09,4807.319824,4811.970215,4745.140137,4769.620117,4768.394043,216000.0
48,2012-02-10,4769.299805,4796.470215,4746.620117,4783.52002,4782.290527,93300.0
49,2012-02-13,4796.169922,4812.5,4779.359863,4802.029785,4800.79541,72500.0
50,2012-02-14,4806.22998,4806.22998,4770.209961,4775.930176,4774.702637,112400.0
51,2012-02-15,4780.040039,4780.169922,4752.319824,4772.470215,4771.243164,83000.0
52,2012-02-16,4772.470215,4795.330078,4757.049805,4766.569824,4765.344238,52400.0
53,2012-02-17,4831.97998,4886.990234,4825.339844,4880.709961,4879.455078,95900.0
54,2012-02-20,4894.359863,4966.939941,4894.359863,4943.839844,4942.568848,161500.0
55,2012-02-21,4943.109863,4943.109863,4898.029785,4900.939941,4899.680176,88100.0
56,2012-02-22,4899.919922,4955.609863,4897.990234,4934.290039,4933.021484,244100.0
57,2012-02-23,4934.649902,4997.040039,4893.47998,4893.47998,4892.222168,122800.0
58,2012-02-24,4923.02002,4961.02002,4864.330078,4893.0,4891.742188,93100.0
59,2012-02-27,4893.5,4908.120117,4794.240234,4799.290039,4798.056152,82100.0
60,2012-02-28,4797.040039,4837.450195,4790.830078,4820.430176,4819.190918,72700.0
61,2012-02-29,4827.100098,4897.649902,4827.100098,4897.649902,4896.390625,115300.0
62,2012-03-01,4900.830078,5011.089844,4896.209961,4938.609863,4937.340332,274100.0
63,2012-03-02,4962.379883,5016.299805,4962.379883,5016.299805,5015.010254,144500.0
64,2012-03-05,5016.129883,5030.580078,4995.700195,5030.580078,5029.286621,101700.0
65,2012-03-06,5039.290039,5039.290039,4941.430176,4967.390137,4966.113281,127000.0
66,2012-03-07,4961.970215,4961.970215,4899.200195,4921.359863,4920.094727,90400.0
67,2012-03-08,4925.850098,4969.799805,4925.850098,4956.189941,4954.916016,154800.0
68,2012-03-09,4955.75,4983.009766,4955.75,4980.709961,4979.429688,72200.0
69,2012-03-12,4983.220215,4986.129883,4965.390137,4975.169922,4973.891113,146500.0
70,2012-03-13,4977.040039,5005.75,4964.839844,5005.75,5004.463379,80800.0
71,2012-03-14,5006.240234,5070.200195,5006.240234,5050.990234,5049.691895,136800.0
72,2012-03-15,5030.97998,5061.009766,5030.97998,5031.779785,5030.486328,230600.0
73,2012-03-16,5040.220215,5145.890137,5040.220215,5145.890137,5144.567383,179700.0
74,2012-03-19,5146.169922,5146.169922,5117.549805,5127.0,5125.682129,213900.0
75,2012-03-20,5130.160156,5131.97998,5100.470215,5102.240234,5100.928711,194400.0
76,2012-03-21,5101.990234,5101.990234,5037.939941,5037.939941,5036.64502,116600.0
77,2012-03-22,5041.629883,5063.689941,5041.629883,5043.52002,5042.223633,190100.0
78,2012-03-23,5056.379883,5062.629883,5026.720215,5042.439941,5041.143555,233200.0
79,2012-03-26,5042.439941,5063.569824,5029.629883,5029.629883,5028.336914,127900.0
80,2012-03-27,5029.930176,5092.060059,5029.930176,5078.100098,5076.794434,158300.0
81,2012-03-28,5078.22998,5093.580078,5060.120117,5067.660156,5066.357422,114500.0
82,2012-03-29,5073.870117,5094.779785,5049.990234,5085.240234,5083.933105,159100.0
83,2012-03-30,5088.370117,5120.470215,5088.370117,5107.72998,5106.416992,75800.0
84,2012-04-02,5107.72998,5115.609863,5080.660156,5110.859863,5109.545898,43400.0
